"adm0_id","adm0_name","adm0_ha","for_ref_tco2e","for_ref_ha"
"AFG","Afghanistan",64346581,1119.78024,900
"AGO","Angola",125450572,2955740.98501,1035000
"ALB","Albania",2870481,290285.84691,135300
"AND","Andorra",46473,340.61189,1200
"ARE","United Arab Emirates",7118978,NA,NA
"ARG","Argentina",278550501,1923415.66483,1984100
"ARM","Armenia",2974631,22254.3109,56200
"ATG","Antigua and Barbuda",44907,NA,NA
"AUS","Australia",771798320,11515116.30418,10993900
"AUT","Austria",8388775,3688690.40479,4575200
"AZE","Azerbaijan",8624470,112116.59226,241600
"BDI","Burundi",2701443,977268.34049,347300
"BEL","Belgium",3061332,819325.0803,671000
"BEN","Benin",11602476,103669.73067,46400
"BFA","Burkina Faso",27502866,205.24979,100
"BGD","Bangladesh",13998639,1034677.14596,1925400
"BGR","Bulgaria",11101046,923104.79092,2602300
"BHR","Bahrain",78197,NA,NA
"BHS","Bahamas",1251035,NA,NA
"BIH","Bosnia and Herzegovina",5123705,1263675.1454,1861700
"BLR","Belarus",20720930,2154320.31853,7998800
"BLZ","Belize",2216600,2352284.81865,615100
"BOL","Bolivia",108987436,38068000.54174,16310400
"BRA","Brazil",852303467,706097855.62465,108657000
"BRB","Barbados",44408,NA,NA
"BRN","Brunei Darussalam",593101,192300.62019,145600
"BTN","Bhutan",3873516,433375.49862,1338300
"BWA","Botswana",58094263,NA,NA
"CAF","Central African Republic",62415555,9141168.20793,5108600
"CAN","Canada",993469948,35174733.74832,101996300
"CHE","Switzerland",4127031,2789379.14363,2273100
"CHL","Chile",74883625,309270.19895,460800
"CHN","China",940245525,25126257.43905,57387500
"CIV","C̫te d'Ivoire",32386621,44003484.37139,9395800
"CMR","Cameroon",46803062,12271868.34839,6150100
"COD","Democratic Republic of the Congo",234341157,116073224.28788,33030200
"COG","Congo",34633406,15006726.43495,3299400
"COL","Colombia",114333001,157132643.1725,33387000
"COM","Comoros",165733,102893.72626,72400
"CPV","Cabo Verde",408658,NA,NA
"CRI","Costa Rica",5163298,10276438.65334,2857000
"CUB","Cuba",11026616,4545491.31151,1668900
"CYP","Cyprus",907930,NA,NA
"CZE","Czechia",7877835,1890157.54322,2446300
"DEU","Germany",35712768,6463960.14923,11845000
"DJI","Djibouti",2181797,NA,NA
"DMA","Dominica",76608,8133.45899,27300
"DNK","Denmark",4439770,153897.79549,411200
"DOM","Dominican Republic",4859106,7139394.5917,1755600
"DZA","Algeria",231472917,10810.40027,25600
"ECU","Ecuador",25673456,19497645.12879,7291300
"EGY","Egypt",98841761,NA,NA
"ERI","Eritrea",12111177,NA,NA
"ESH","Western Sahara",27032204,NA,NA
"ESP","Spain",50661783,4705605.78482,3843200
"EST","Estonia",4513384,511585.16959,772200
"ETH","Ethiopia",113602598,5356700.18923,1940000
"FIN","Finland",33460246,2617499.74343,9887800
"FJI","Fiji",1870345,3533314.45825,875500
"FLK-20221023","Falkland Islands (Malvinas)",1189042,NA,NA
"FRA","France",66784385,18384006.93786,14711400
"FSM","Micronesia",66379,NA,NA
"GAB","Gabon",26460929,11175184.67273,4238300
"GBR","United Kingdom",25147541,1286161.45896,2437400
"GEO","Georgia",6971360,135681.22812,1093600
"GHA","Ghana",24030848,22114005.78566,5063700
"GIN","Guinea",24613062,4799738.51381,1838100
"GMB","Gambia",1078192,1592.79527,800
"GNB","Guinea-Bissau",3386421,300345.26841,113900
"GNQ","Equatorial Guinea",2702028,540237.20867,681800
"GRC","Greece",13234264,320599.1168,661900
"GRD","Grenada",36181,1654.94648,8900
"GRL","Greenland",214424852,NA,NA
"GTM","Guatemala",10885737,11426787.86077,3947700
"GUY","Guyana",21213809,8320287.79064,3818800
"HND","Honduras",11270540,12257917.40932,4944200
"HRV","Croatia",5636645,943586.57903,1127500
"HRV-20221023","Croatia",118,NA,NA
"HTI","Haiti",2726111,3827519.92959,933600
"HUN","Hungary",9296225,203036.49107,411600
"IDN","Indonesia",189583071,150426228.07388,71872700
"IND","India",316761112,16400290.067,26171200
"IRL","Ireland",6978498,17640.0151,29500
"IRN","Iran",162724859,18849.3407,99800
"IRQ","Iraq",43815174,NA,NA
"ISL","Iceland",10205053,NA,NA
"ISR","Israel",2081714,NA,NA
"ITA","Italy",30093531,3023162.81146,4100700
"JAM","Jamaica",1105061,843940.56802,568700
"JOR","Jordan",8939653,NA,NA
"JPN","Japan",37714423,2541220.9651,10577500
"KAZ","Kazakhstan",272399086,328849.67558,1226700
"KEN","Kenya",59001713,783796.41889,571100
"KGZ","Kyrgyzstan",19849099,85.04453,1300
"KHM","Cambodia",18260021,3985621.07745,1839400
"KIR","Kiribati",93085,NA,NA
"KNA","Saint Kitts and Nevis",27076,218.86836,1200
"KOR","South Korea",9899960,1136671.8698,2885100
"KWT","Kuwait",1742493,NA,NA
"LAO","Lao People's Democratic Republic",23098031,9996958.32293,7928400
"LBN","Lebanon",1024949,NA,NA
"LBR","Liberia",9644576,8678581.82277,4973500
"LBY","Libya",162261346,NA,NA
"LCA","Saint Lucia",62115,20805.06062,37700
"LIE","Liechtenstein",15997,7115.26167,9000
"LKA","Sri Lanka",6640214,1098128.23058,1938400
"LSO","Lesotho",3066478,NA,NA
"LTU","Lithuania",6475507,442433.90003,1691000
"LUX","Luxembourg",259297,63400.13618,86500
"LVA","Latvia",6441455,970283.16508,1755000
"MAR","Morocco",41514333,1329.09258,21300
"MCO","Monaco",209,NA,NA
"MDA","Moldova",3383636,4748.64008,33900
"MDG","Madagascar",59362976,25631119.90051,9034500
"MDV","Maldives",16250,NA,NA
"MEX","Mexico",196517710,34930368.26883,12536200
"MHL","Marshall Islands",12876,NA,NA
"MKD","North Macedonia",2545776,662865.9593,511000
"MLI","Mali",126194794,NA,NA
"MLT","Malta",32380,NA,NA
"MMR","Myanmar",67041004,16387322.62959,13953700
"MNE","Montenegro",1391204,466185.18563,297500
"MNG","Mongolia",156425401,1985320.87488,2433400
"MOZ","Mozambique",79026582,2192462.35815,890600
"MRT","Mauritania",104290751,NA,NA
"MUS","Mauritius",201394,NA,NA
"MWI","Malawi",11940052,542627.97739,197600
"MYS","Malaysia",33133111,31932011.10883,14808500
"NAM","Namibia",82785860,NA,NA
"NER","Niger",118737758,NA,NA
"NGA","Nigeria",91469486,26012329.75688,4519200
"NIC","Nicaragua",12921751,30094659.91591,6177100
"NLD","Netherlands",3613844,99565.09192,214200
"NOR","Norway",38281417,731717.26814,2558900
"NPL","Nepal",14812682,2473078.43743,5410600
"NRU","Nauru",2283,NA,NA
"NZL","New Zealand",26969692,10191359.85766,4875400
"OMN","Oman",31007364,NA,NA
"PAK","Pakistan",87573519,147143.94458,507900
"PAN","Panama",7554078,20598717.15679,3694700
"PER","Peru",130055975,29347749.48005,17075000
"PHL","Philippines",29423280,36761700.11955,16280200
"PLW","Palau",46469,28184.0994,21800
"PNG","Papua New Guinea",46379808,28415311.25878,15088800
"POL","Poland",31141453,2510426.55625,7423100
"PRK","North Korea",12215224,2368662.1977,3882000
"PRT","Portugal",9211947,197032.71226,199900
"PRY","Paraguay",40129068,3692799.25507,2078600
"PSE_2-20221023","State of Palestine",624525,NA,NA
"QAT","Qatar",1170244,NA,NA
"ROU","Romania",23767804,3405901.46271,5547400
"RUS","Russian Federation",1687423252,55285607.05384,145682000
"RWA","Rwanda",2544915,718509.9011,465600
"SAU","Saudi Arabia",193310597,NA,NA
"SDN","Sudan",185762748,NA,NA
"SEN","Senegal",19745549,13727.04356,13100
"SGP","Singapore",69037,37040.35379,29400
"SLB","Solomon Islands",2817844,518827.33241,901500
"SLE","Sierra Leone",7283607,4273257.30377,1773800
"SLV","El Salvador",2081299,1762870.55856,920300
"SMR","San Marino",6107,NA,NA
"SOM","Somalia",63737122,NA,NA
"SRB","Serbia",7747380,1998802.16371,2786300
"SSD","South Sudan",64663897,599473.80053,326800
"STP","Sao Tome and Principe",99660,NA,NA
"SUR","Suriname",14675619,2324678.62641,2030000
"SVK","Slovakia",4898352,1302541.52651,2073200
"SVN","Slovenia",2026857,1037845.72481,1263100
"SWE","Sweden",44745088,2793074.43349,11195000
"SWZ","Eswatini",1743005,22848.13651,13900
"SYC","Seychelles",43894,NA,NA
"SYR","Syrian Arab Republic",18798466,NA,NA
"TCD","Chad",127684628,976.97064,2000
"TGO","Togo",5703611,227256.4333,77200
"THA","Thailand",51641148,10633786.87331,8803500
"TJK","Tajikistan",14151318,NA,NA
"TKM","Turkmenistan",48991595,NA,NA
"TLS","Timor-Leste",1503537,1900671.95888,941100
"TON","Tonga",68452,NA,NA
"TTO","Trinidad and Tobago",519368,1058217.46376,278400
"TUN","Tunisia",15568030,12777.08063,24800
"TUR","Turkey",78162017,333103.76231,1301500
"TUV","Tuvalu",2923,NA,NA
"TZA","Tanzania",94633803,5513578.47828,1859400
"UGA","Uganda",24301629,2514216.7899,628400
"UKR","Ukraine",59731598,2855055.58785,5032900
"URY","Uruguay",17825814,NA,NA
"USA","United States",948899799,70959280.03611,120170900
"UZB","Uzbekistan",44935190,NA,NA
"VAT","Holy See",52,NA,NA
"VCT","Saint Vincent and the Grenadines",38855,9317.95693,12800
"VEN","Venezuela",91784760,40973378.5457,11723400
"VNM","Viet Nam",32899534,15963859.18814,11411900
"VUT","Vanuatu",1227732,118350.82014,307600
"WSM","Samoa",288582,NA,NA
"XAB-20221023","Abyei",1048312,NA,NA
"XAC-20221023","Aksai Chin",3051615,NA,NA
"XCE-20221023","Chumar East",1590,NA,NA
"XCH-20221023","Chumar",2026,NA,NA
"XDE-20221023","Demchok",149286,NA,NA
"XDS-20221023","Dramana-Shakatoe",10810,NA,NA
"XIB-20221023","Isla Brasilera",537,NA,NA
"XJN-20221023","Jadh-Nelang",145829,NA,NA
"XKA-20221023","Kalapani",5976,NA,NA
"XKO-20221023","Koualou",777,NA,NA
"XKU-20221023","Kauirik",35141,NA,NA
"XKX","Kosovo",1091066,481777.37343,351000
"XLB-20221023","Lapthal-Bara Hoti",58003,NA,NA
"XSK-20221023","Senkaku Islands",426,NA,NA
"XSP-20221023","Shipki Pass",5751,NA,NA
"YEM","Yemen",45590743,NA,NA
"ZAF","South Africa",122423017,2266129.7713,1273700
"ZMB","Zambia",75565441,1585952.04947,1006400
"ZWE","Zimbabwe",39280184,226466.30397,115400
"ATA",NA,1227426382,NA,NA
"XJK-20221023","Jammu and Kashmir",0,NA,NA
